1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 02:00:01 BST 2023
Total Mission Samples:  6068
Total Device Samples:  17867
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/06/2023, 02:00:01,C,12.046
27/06/2023, 02:30:01,C,12.046
27/06/2023, 03:00:01,C,12.547
27/06/2023, 03:30:01,C,12.547
27/06/2023, 04:00:01,C,12.547
27/06/2023, 04:30:01,C,12.547
27/06/2023, 05:00:01,C,13.049
27/06/2023, 05:30:01,C,12.547
27/06/2023, 06:00:01,C,12.547
27/06/2023, 06:30:01,C,12.547
27/06/2023, 07:00:01,C,13.049
27/06/2023, 07:30:01,C,13.049
27/06/2023, 08:00:01,C,13.049
27/06/2023, 08:30:01,C,13.55
27/06/2023, 09:00:01,C,13.55
27/06/2023, 09:30:01,C,13.55
27/06/2023, 10:00:01,C,13.049
27/06/2023, 10:30:01,C,12.547
27/06/2023, 11:00:01,C,13.049
27/06/2023, 11:30:01,C,13.049
27/06/2023, 12:00:01,C,13.049
27/06/2023, 12:30:01,C,13.049
27/06/2023, 13:00:01,C,13.55
27/06/2023, 13:30:01,C,13.55
27/06/2023, 14:00:01,C,14.552
27/06/2023, 14:30:01,C,15.053
27/06/2023, 15:00:01,C,15.554
27/06/2023, 15:30:01,C,15.554
27/06/2023, 16:00:01,C,15.554
27/06/2023, 16:30:01,C,15.554
27/06/2023, 17:00:01,C,15.554
27/06/2023, 17:30:01,C,15.554
27/06/2023, 18:00:01,C,15.053
27/06/2023, 18:30:01,C,15.554
27/06/2023, 19:00:01,C,15.554
27/06/2023, 19:30:01,C,15.053
27/06/2023, 20:00:01,C,15.053
27/06/2023, 20:30:01,C,15.554
27/06/2023, 21:00:01,C,15.053
27/06/2023, 21:30:01,C,15.053
27/06/2023, 22:00:01,C,15.554
27/06/2023, 22:30:01,C,15.053
27/06/2023, 23:00:01,C,15.053
27/06/2023, 23:30:01,C,15.053
28/06/2023, 00:00:01,C,15.053
28/06/2023, 00:30:01,C,15.053
28/06/2023, 01:00:01,C,15.053
28/06/2023, 01:30:01,C,16.055
28/06/2023, 02:00:01,C,15.554
28/06/2023, 02:30:01,C,16.055
28/06/2023, 03:00:01,C,15.554
28/06/2023, 03:30:01,C,15.554
28/06/2023, 04:00:01,C,15.554
28/06/2023, 04:30:01,C,15.554
28/06/2023, 05:00:01,C,15.053
28/06/2023, 05:30:01,C,15.053
28/06/2023, 06:00:01,C,15.053
28/06/2023, 06:30:01,C,15.554
28/06/2023, 07:00:01,C,15.554
